Rk,Player,Age,Team,Pos,G,FG%,3P,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Player-additional
194,Haywood Highsmith,28,MIA,SF,74,.458,1.2,1.0,2.4,3.4,1.5,0.9,0.5,6.5,,highsha01
195,Gary Payton II,32,GSW,SG,62,.574,0.5,0.9,2.1,3.0,1.3,0.8,0.3,6.5,,paytoga02
196,Ron Holland,19,DET,SF,81,.474,0.4,0.5,2.2,2.7,1.0,0.6,0.2,6.4,,hollaro01
197,Kris Dunn,30,LAC,PG,74,.439,1.0,0.7,2.7,3.4,2.8,1.7,0.4,6.4,,dunnkr01
198,Gabe Vincent,28,LAL,PG,72,.400,1.5,0.3,1.0,1.3,1.4,0.7,0.2,6.4,,vincega01
199,Zach Collins,27,2TM,PF,64,.507,0.5,1.6,2.9,4.5,1.7,0.5,0.5,6.4,,colliza01
200,Jeremiah Robinson-Earl,24,NOP,PF,66,.455,0.8,1.7,3.1,4.8,1.3,0.6,0.1,6.3,,robinje02
201,Kenrich Williams,30,OKC,PF,69,.483,1.0,0.9,2.6,3.5,1.4,0.6,0.1,6.3,,willike04
202,Sandro Mamukelashvili,25,SAS,PF,61,.502,1.0,1.0,2.0,3.1,0.8,0.4,0.3,6.3,,mamuksa01
203,Jonathan Mogbo,23,TOR,PF,63,.438,0.3,1.7,3.2,4.9,2.3,0.9,0.5,6.2,,mogbojo01
204,Jarace Walker,21,IND,PF,75,.472,1.0,0.3,2.7,3.1,1.5,0.7,0.3,6.1,,walkeja02
205,Isaiah Stewart,23,DET,C,72,.559,0.2,1.8,3.7,5.5,1.7,0.4,1.4,6.0,,stewais01
206,Luke Kornet,29,BOS,C,73,.668,0.0,2.6,2.7,5.3,1.6,0.5,1.0,6.0,,kornelu01
207,Simone Fontecchio,29,DET,SF,75,.402,1.0,0.7,2.2,2.9,0.9,0.4,0.2,5.9,,fontesi01
208,Tidjane Salaün,19,CHO,PF,60,.330,1.0,1.2,3.5,4.7,1.2,0.5,0.2,5.9,,salauti01
209,Kyle Anderson,31,2TM,PF,61,.469,0.4,0.9,2.5,3.4,2.4,0.7,0.5,5.9,,anderky01
210,Adem Bona,21,PHI,C,58,.703,0.0,1.6,2.6,4.2,0.5,0.4,1.2,5.8,,bonaad01
211,Moussa Diabaté,23,CHO,C,71,.596,0.0,2.6,3.5,6.2,0.8,0.6,0.6,5.7,,diabamo01
212,Aaron Holiday,28,HOU,PG,62,.437,1.2,0.2,1.0,1.3,1.3,0.3,0.2,5.5,,holidaa01
213,Dean Wade,28,CLE,PF,59,.413,1.4,0.9,3.4,4.2,1.3,0.7,0.3,5.4,,wadede01
214,Jonathan Isaac,27,ORL,PF,71,.414,0.5,1.7,2.7,4.4,0.6,0.9,1.1,5.4,,isaacjo01
